operator,message_bytes,avg_ms,min_ms,max_ms,std_ms,world_size,device_type
all_gather,1024,0.025892,0.025892,0.025892,0.0,2,MLU580
all_gather,4096,0.021832999999999998,0.021832999999999998,0.021832999999999998,0.0,2,MLU580
all_gather,16384,0.021793,0.021793,0.021793,0.0,2,MLU580
all_gather,65536,0.021802,0.021802,0.021802,0.0,2,MLU580
all_gather,262144,0.02974,0.02974,0.02974,0.0,2,MLU580
all_gather,1048576,0.043466,0.043466,0.043466,0.0,2,MLU580
all_gather,4194304,0.07735800000000001,0.07735800000000001,0.07735800000000001,0.0,2,MLU580
all_gather,8388608,0.124574,0.124574,0.124574,0.0,2,MLU580
all_gather,12582912,0.172163,0.172163,0.172163,0.0,2,MLU580
all_gather,16777216,0.219399,0.219399,0.219399,0.0,2,MLU580
all_gather,20971520,0.268026,0.268026,0.268026,0.0,2,MLU580
all_gather,25165824,0.31537400000000004,0.31537400000000004,0.31537400000000004,0.0,2,MLU580
all_gather,29360128,0.361682,0.361682,0.361682,0.0,2,MLU580
all_gather,33554432,0.411663,0.411663,0.411663,0.0,2,MLU580
all_gather,37748736,0.45632,0.45632,0.45632,0.0,2,MLU580
all_gather,41943040,0.507447,0.507447,0.507447,0.0,2,MLU580
all_gather,46137344,0.55186,0.55186,0.55186,0.0,2,MLU580
all_gather,50331648,0.601851,0.601851,0.601851,0.0,2,MLU580
all_gather,54525952,0.647223,0.647223,0.647223,0.0,2,MLU580
all_gather,58720256,0.695389,0.695389,0.695389,0.0,2,MLU580
all_gather,62914560,0.741556,0.741556,0.741556,0.0,2,MLU580
all_gather,67108864,0.792411,0.792411,0.792411,0.0,2,MLU580
all_gather,71303168,0.8369719999999999,0.8369719999999999,0.8369719999999999,0.0,2,MLU580
all_gather,75497472,0.886229,0.886229,0.886229,0.0,2,MLU580
all_gather,79691776,0.9325869999999999,0.9325869999999999,0.9325869999999999,0.0,2,MLU580
all_gather,83886080,0.981841,0.981841,0.981841,0.0,2,MLU580
all_gather,88080384,1.027944,1.027944,1.027944,0.0,2,MLU580
all_gather,92274688,1.078615,1.078615,1.078615,0.0,2,MLU580
all_gather,96468992,1.128287,1.128287,1.128287,0.0,2,MLU580
all_gather,100663296,1.1733689999999999,1.1733689999999999,1.1733689999999999,0.0,2,MLU580
all_gather,104857600,1.223789,1.223789,1.223789,0.0,2,MLU580
all_gather,109051904,1.26896,1.26896,1.26896,0.0,2,MLU580
all_gather,113246208,1.319119,1.319119,1.319119,0.0,2,MLU580
all_gather,117440512,1.365526,1.365526,1.365526,0.0,2,MLU580
all_gather,121634816,1.4144619999999999,1.4144619999999999,1.4144619999999999,0.0,2,MLU580
all_gather,125829120,1.458904,1.458904,1.458904,0.0,2,MLU580
all_gather,130023424,1.5092670000000001,1.5092670000000001,1.5092670000000001,0.0,2,MLU580
all_gather,134217728,1.552114,1.552114,1.552114,0.0,2,MLU580
