operator,message_bytes,avg_ms,min_ms,max_ms,std_ms,world_size,device_type
broadcast,1024,0.028725,0.028725,0.028725,0.0,2,MLU580
broadcast,4096,0.02206,0.02206,0.02206,0.0,2,MLU580
broadcast,16384,0.022147,0.022147,0.022147,0.0,2,MLU580
broadcast,65536,0.023753,0.023753,0.023753,0.0,2,MLU580
broadcast,262144,0.030821,0.030821,0.030821,0.0,2,MLU580
broadcast,1048576,0.046023,0.046023,0.046023,0.0,2,MLU580
broadcast,4194304,0.10193600000000001,0.10193600000000001,0.10193600000000001,0.0,2,MLU580
broadcast,8388608,0.177944,0.177944,0.177944,0.0,2,MLU580
broadcast,12582912,0.250912,0.250912,0.250912,0.0,2,MLU580
broadcast,16777216,0.322215,0.322215,0.322215,0.0,2,MLU580
broadcast,20971520,0.401497,0.401497,0.401497,0.0,2,MLU580
broadcast,25165824,0.472314,0.472314,0.472314,0.0,2,MLU580
broadcast,29360128,0.547671,0.547671,0.547671,0.0,2,MLU580
broadcast,33554432,0.625931,0.625931,0.625931,0.0,2,MLU580
broadcast,37748736,0.697639,0.697639,0.697639,0.0,2,MLU580
broadcast,41943040,0.7728700000000001,0.7728700000000001,0.7728700000000001,0.0,2,MLU580
broadcast,46137344,0.848322,0.848322,0.848322,0.0,2,MLU580
broadcast,50331648,0.920215,0.920215,0.920215,0.0,2,MLU580
broadcast,54525952,0.993407,0.993407,0.993407,0.0,2,MLU580
broadcast,58720256,1.07115,1.07115,1.07115,0.0,2,MLU580
broadcast,62914560,1.1417460000000001,1.1417460000000001,1.1417460000000001,0.0,2,MLU580
broadcast,67108864,1.218867,1.218867,1.218867,0.0,2,MLU580
broadcast,71303168,1.293171,1.293171,1.293171,0.0,2,MLU580
broadcast,75497472,1.3654179999999998,1.3654179999999998,1.3654179999999998,0.0,2,MLU580
broadcast,79691776,1.443887,1.443887,1.443887,0.0,2,MLU580
broadcast,83886080,1.51562,1.51562,1.51562,0.0,2,MLU580
broadcast,88080384,1.591077,1.591077,1.591077,0.0,2,MLU580
broadcast,92274688,1.667048,1.667048,1.667048,0.0,2,MLU580
broadcast,96468992,1.7417529999999999,1.7417529999999999,1.7417529999999999,0.0,2,MLU580
broadcast,100663296,1.815539,1.815539,1.815539,0.0,2,MLU580
broadcast,104857600,1.889741,1.889741,1.889741,0.0,2,MLU580
broadcast,109051904,1.963265,1.963265,1.963265,0.0,2,MLU580
broadcast,113246208,2.038116,2.038116,2.038116,0.0,2,MLU580
broadcast,117440512,2.111303,2.111303,2.111303,0.0,2,MLU580
broadcast,121634816,2.1881239999999997,2.1881239999999997,2.1881239999999997,0.0,2,MLU580
broadcast,125829120,2.2585830000000002,2.2585830000000002,2.2585830000000002,0.0,2,MLU580
broadcast,130023424,2.335955,2.335955,2.335955,0.0,2,MLU580
broadcast,134217728,2.40958,2.40958,2.40958,0.0,2,MLU580
