operator,message_bytes,real_ms,sim_ms,error_pct,model_type,segment_count,threshold_bytes,segment_ranges_bytes,segment_models
all_reduce,1024,0.022238,0.021726,2.3002,segmented_linear,4,16384;1048576;8388608,1024-16384;65536-1048576;4194304-8388608;12582912-134217728,"0.021455,0.000000265276;0.028084,0.000000023599;0.062269,0.000000015066;0.021506,0.000000018565"
all_reduce,4096,0.021902,0.022541,2.9194,segmented_linear,4,16384;1048576;8388608,1024-16384;65536-1048576;4194304-8388608;12582912-134217728,"0.021455,0.000000265276;0.028084,0.000000023599;0.062269,0.000000015066;0.021506,0.000000018565"
all_reduce,16384,0.025929,0.025801,0.4932,segmented_linear,4,16384;1048576;8388608,1024-16384;65536-1048576;4194304-8388608;12582912-134217728,"0.021455,0.000000265276;0.028084,0.000000023599;0.062269,0.000000015066;0.021506,0.000000018565"
all_reduce,65536,0.029918,0.029631,0.9607,segmented_linear,4,16384;1048576;8388608,1024-16384;65536-1048576;4194304-8388608;12582912-134217728,"0.021455,0.000000265276;0.028084,0.000000023599;0.062269,0.000000015066;0.021506,0.000000018565"
all_reduce,262144,0.033911,0.034270,1.0595,segmented_linear,4,16384;1048576;8388608,1024-16384;65536-1048576;4194304-8388608;12582912-134217728,"0.021455,0.000000265276;0.028084,0.000000023599;0.062269,0.000000015066;0.021506,0.000000018565"
all_reduce,1048576,0.052901,0.052829,0.1358,segmented_linear,4,16384;1048576;8388608,1024-16384;65536-1048576;4194304-8388608;12582912-134217728,"0.021455,0.000000265276;0.028084,0.000000023599;0.062269,0.000000015066;0.021506,0.000000018565"
all_reduce,4194304,0.125459,0.125459,0.0000,segmented_linear,4,16384;1048576;8388608,1024-16384;65536-1048576;4194304-8388608;12582912-134217728,"0.021455,0.000000265276;0.028084,0.000000023599;0.062269,0.000000015066;0.021506,0.000000018565"
all_reduce,8388608,0.188649,0.188649,0.0000,segmented_linear,4,16384;1048576;8388608,1024-16384;65536-1048576;4194304-8388608;12582912-134217728,"0.021455,0.000000265276;0.028084,0.000000023599;0.062269,0.000000015066;0.021506,0.000000018565"
all_reduce,12582912,0.259604,0.255107,1.7324,segmented_linear,4,16384;1048576;8388608,1024-16384;65536-1048576;4194304-8388608;12582912-134217728,"0.021455,0.000000265276;0.028084,0.000000023599;0.062269,0.000000015066;0.021506,0.000000018565"
all_reduce,16777216,0.342623,0.332974,2.8163,segmented_linear,4,16384;1048576;8388608,1024-16384;65536-1048576;4194304-8388608;12582912-134217728,"0.021455,0.000000265276;0.028084,0.000000023599;0.062269,0.000000015066;0.021506,0.000000018565"
all_reduce,20971520,0.414477,0.410841,0.8773,segmented_linear,4,16384;1048576;8388608,1024-16384;65536-1048576;4194304-8388608;12582912-134217728,"0.021455,0.000000265276;0.028084,0.000000023599;0.062269,0.000000015066;0.021506,0.000000018565"
all_reduce,25165824,0.496948,0.488708,1.6582,segmented_linear,4,16384;1048576;8388608,1024-16384;65536-1048576;4194304-8388608;12582912-134217728,"0.021455,0.000000265276;0.028084,0.000000023599;0.062269,0.000000015066;0.021506,0.000000018565"
all_reduce,29360128,0.568438,0.566575,0.3278,segmented_linear,4,16384;1048576;8388608,1024-16384;65536-1048576;4194304-8388608;12582912-134217728,"0.021455,0.000000265276;0.028084,0.000000023599;0.062269,0.000000015066;0.021506,0.000000018565"
all_reduce,33554432,0.647279,0.644442,0.4383,segmented_linear,4,16384;1048576;8388608,1024-16384;65536-1048576;4194304-8388608;12582912-134217728,"0.021455,0.000000265276;0.028084,0.000000023599;0.062269,0.000000015066;0.021506,0.000000018565"
all_reduce,37748736,0.720308,0.722309,0.2778,segmented_linear,4,16384;1048576;8388608,1024-16384;65536-1048576;4194304-8388608;12582912-134217728,"0.021455,0.000000265276;0.028084,0.000000023599;0.062269,0.000000015066;0.021506,0.000000018565"
all_reduce,41943040,0.802928,0.800176,0.3427,segmented_linear,4,16384;1048576;8388608,1024-16384;65536-1048576;4194304-8388608;12582912-134217728,"0.021455,0.000000265276;0.028084,0.000000023599;0.062269,0.000000015066;0.021506,0.000000018565"
all_reduce,46137344,0.875944,0.878043,0.2396,segmented_linear,4,16384;1048576;8388608,1024-16384;65536-1048576;4194304-8388608;12582912-134217728,"0.021455,0.000000265276;0.028084,0.000000023599;0.062269,0.000000015066;0.021506,0.000000018565"
all_reduce,50331648,0.956627,0.955910,0.0749,segmented_linear,4,16384;1048576;8388608,1024-16384;65536-1048576;4194304-8388608;12582912-134217728,"0.021455,0.000000265276;0.028084,0.000000023599;0.062269,0.000000015066;0.021506,0.000000018565"
all_reduce,54525952,1.028759,1.033777,0.4878,segmented_linear,4,16384;1048576;8388608,1024-16384;65536-1048576;4194304-8388608;12582912-134217728,"0.021455,0.000000265276;0.028084,0.000000023599;0.062269,0.000000015066;0.021506,0.000000018565"
