operator,message_bytes,avg_ms,min_ms,max_ms,std_ms,world_size,device_type
reduce,1024,0.021815,0.021815,0.021815,0.0,2,MLU580
reduce,4096,0.021734000000000003,0.021734000000000003,0.021734000000000003,0.0,2,MLU580
reduce,16384,0.021608000000000002,0.021608000000000002,0.021608000000000002,0.0,2,MLU580
reduce,65536,0.024832999999999997,0.024832999999999997,0.024832999999999997,0.0,2,MLU580
reduce,262144,0.030463,0.030463,0.030463,0.0,2,MLU580
reduce,1048576,0.045535,0.045535,0.045535,0.0,2,MLU580
reduce,4194304,0.108794,0.108794,0.108794,0.0,2,MLU580
reduce,8388608,0.180672,0.180672,0.180672,0.0,2,MLU580
reduce,12582912,0.253434,0.253434,0.253434,0.0,2,MLU580
reduce,16777216,0.33072199999999996,0.33072199999999996,0.33072199999999996,0.0,2,MLU580
reduce,20971520,0.40632999999999997,0.40632999999999997,0.40632999999999997,0.0,2,MLU580
reduce,25165824,0.481914,0.481914,0.481914,0.0,2,MLU580
reduce,29360128,0.553015,0.553015,0.553015,0.0,2,MLU580
reduce,33554432,0.630533,0.630533,0.630533,0.0,2,MLU580
reduce,37748736,0.703095,0.703095,0.703095,0.0,2,MLU580
reduce,41943040,0.7769210000000001,0.7769210000000001,0.7769210000000001,0.0,2,MLU580
reduce,46137344,0.849105,0.849105,0.849105,0.0,2,MLU580
reduce,50331648,0.926487,0.926487,0.926487,0.0,2,MLU580
reduce,54525952,0.99901,0.99901,0.99901,0.0,2,MLU580
reduce,58720256,1.0764829999999999,1.0764829999999999,1.0764829999999999,0.0,2,MLU580
reduce,62914560,1.1491289999999998,1.1491289999999998,1.1491289999999998,0.0,2,MLU580
reduce,67108864,1.225054,1.225054,1.225054,0.0,2,MLU580
reduce,71303168,1.297245,1.297245,1.297245,0.0,2,MLU580
reduce,75497472,1.37444,1.37444,1.37444,0.0,2,MLU580
reduce,79691776,1.446815,1.446815,1.446815,0.0,2,MLU580
reduce,83886080,1.522157,1.522157,1.522157,0.0,2,MLU580
reduce,88080384,1.596099,1.596099,1.596099,0.0,2,MLU580
reduce,92274688,1.673375,1.673375,1.673375,0.0,2,MLU580
reduce,96468992,1.749467,1.749467,1.749467,0.0,2,MLU580
reduce,100663296,1.823694,1.823694,1.823694,0.0,2,MLU580
reduce,104857600,1.899108,1.899108,1.899108,0.0,2,MLU580
reduce,109051904,1.974153,1.974153,1.974153,0.0,2,MLU580
reduce,113246208,2.0518069999999997,2.0518069999999997,2.0518069999999997,0.0,2,MLU580
reduce,117440512,2.124602,2.124602,2.124602,0.0,2,MLU580
reduce,121634816,2.201521,2.201521,2.201521,0.0,2,MLU580
reduce,125829120,2.273771,2.273771,2.273771,0.0,2,MLU580
reduce,130023424,2.349745,2.349745,2.349745,0.0,2,MLU580
reduce,134217728,2.424329,2.424329,2.424329,0.0,2,MLU580
