operator,scale,world_size,seq_len,m,k,n,flops,dtype,avg_ms,min_ms,max_ms,std_ms,inner_loops,warmup,repeats
mlp_up_gemm,single_card,1,16,16,4096,14336,1879048192,fp16,0.164125,0.163705,0.164648,0.000358,64,2,5
mlp_up_gemm,single_node_dual_card,2,16,16,4096,14336,1879048192,fp16,0.163772,0.163637,0.164474,0.000415,64,2,5
mlp_up_gemm,single_card,1,32,32,4096,14336,3758096384,fp16,0.165762,0.165721,0.165785,0.000023,64,2,5
mlp_up_gemm,single_node_dual_card,2,32,32,4096,14336,3758096384,fp16,0.165659,0.165606,0.165707,0.000061,64,2,5
mlp_up_gemm,single_card,1,64,64,4096,14336,7516192768,fp16,0.169780,0.169653,0.169987,0.000134,36,2,5
mlp_up_gemm,single_node_dual_card,2,64,64,4096,14336,7516192768,fp16,0.170305,0.170242,0.170367,0.000198,36,2,5
mlp_up_gemm,single_card,1,128,128,4096,14336,15032385536,fp16,0.174605,0.174095,0.175661,0.000588,18,2,5
mlp_up_gemm,single_node_dual_card,2,128,128,4096,14336,15032385536,fp16,0.176243,0.175980,0.176557,0.000567,18,2,5
mlp_up_gemm,single_card,1,256,256,4096,14336,30064771072,fp16,0.160735,0.160172,0.161425,0.000459,9,2,5
mlp_up_gemm,single_node_dual_card,2,256,256,4096,14336,30064771072,fp16,0.160830,0.159542,0.162358,0.001104,9,2,5
mlp_up_gemm,single_card,1,512,512,4096,14336,60129542144,fp16,0.255748,0.254506,0.257549,0.001006,4,2,5
mlp_up_gemm,single_node_dual_card,2,512,512,4096,14336,60129542144,fp16,0.255970,0.254808,0.257387,0.000881,4,2,5
mlp_up_gemm,single_card,1,1024,1024,4096,14336,120259084288,fp16,0.479452,0.477319,0.480557,0.001335,2,2,5
mlp_up_gemm,single_node_dual_card,2,1024,1024,4096,14336,120259084288,fp16,0.482544,0.480767,0.484493,0.001542,2,2,5
mlp_up_gemm,single_card,1,2048,2048,4096,14336,240518168576,fp16,0.943810,0.941018,0.948768,0.002798,1,2,5
mlp_up_gemm,single_node_dual_card,2,2048,2048,4096,14336,240518168576,fp16,0.946704,0.940576,0.950200,0.003433,1,2,5
mlp_gate_gemm,single_card,1,16,16,4096,14336,1879048192,fp16,0.163817,0.163723,0.163867,0.000053,64,2,5
mlp_gate_gemm,single_node_dual_card,2,16,16,4096,14336,1879048192,fp16,0.164020,0.163695,0.164714,0.000384,64,2,5
mlp_gate_gemm,single_card,1,32,32,4096,14336,3758096384,fp16,0.165890,0.165792,0.165995,0.000084,64,2,5
mlp_gate_gemm,single_node_dual_card,2,32,32,4096,14336,3758096384,fp16,0.165659,0.165506,0.165747,0.000084,64,2,5
mlp_gate_gemm,single_card,1,64,64,4096,14336,7516192768,fp16,0.170107,0.169626,0.171626,0.000762,36,2,5
