operator,scale,world_size,message_bytes,shape,dtype,avg_ms,min_ms,max_ms,std_ms,inner_loops,warmup,repeats
data_copy,single_card,1,262144,1x32x4096,fp16,0.004706,0.004706,0.004870,0.000039,256,2,15
data_copy,single_node_dual_card,2,262144,1x32x4096,fp16,0.004277,0.004277,0.004774,0.000134,256,2,15
data_copy,single_card,1,524288,1x64x4096,fp16,0.004321,0.004321,0.004756,0.000102,128,2,15
data_copy,single_node_dual_card,2,524288,1x64x4096,fp16,0.004737,0.004737,0.004985,0.000071,128,2,15
data_copy,single_card,1,1048576,1x128x4096,fp16,0.004832,0.004832,0.005071,0.000061,64,2,15
data_copy,single_node_dual_card,2,1048576,1x128x4096,fp16,0.004783,0.004783,0.004943,0.000039,64,2,15
data_copy,single_card,1,2097152,1x256x4096,fp16,0.005021,0.005021,0.013889,0.002192,32,2,15
data_copy,single_node_dual_card,2,2097152,1x256x4096,fp16,0.005081,0.005081,0.005627,0.000165,32,2,15
data_copy,single_card,1,4194304,1x512x4096,fp16,0.008006,0.008006,0.015548,0.003292,16,2,15
data_copy,single_node_dual_card,2,4194304,1x512x4096,fp16,0.008027,0.008027,0.022536,0.004227,16,2,15
data_copy,single_card,1,6291456,1x768x4096,fp16,0.011246,0.011246,0.019971,0.002953,10,2,15
data_copy,single_node_dual_card,2,6291456,1x768x4096,fp16,0.011241,0.011241,0.011556,0.000087,10,2,15
data_copy,single_card,1,8388608,1x1024x4096,fp16,0.013967,0.013967,0.018471,0.001840,8,2,15
data_copy,single_node_dual_card,2,8388608,1x1024x4096,fp16,0.014371,0.014371,0.014852,0.000164,8,2,15
data_copy,single_card,1,12582912,1x1536x4096,fp16,0.017874,0.017874,0.019290,0.000496,5,2,15
data_copy,single_node_dual_card,2,12582912,1x1536x4096,fp16,0.017763,0.017763,0.019105,0.000513,5,2,15
data_copy,single_card,1,16777216,1x2048x4096,fp16,0.022711,0.022711,0.023279,0.000150,4,2,15
data_copy,single_node_dual_card,2,16777216,1x2048x4096,fp16,0.022775,0.022775,0.024629,0.000641,4,2,15
data_copy,single_card,1,33554432,1x4096x4096,fp16,0.050412,0.050412,0.053898,0.001014,2,2,15
data_copy,single_node_dual_card,2,33554432,1x4096x4096,fp16,0.043490,0.043490,0.044387,0.000419,2,2,15
reshape_transpose,single_card,1,262144,1x32x4096,fp16,0.009595,0.009595,0.010138,0.000125,256,2,15
reshape_transpose,single_node_dual_card,2,262144,1x32x4096,fp16,0.010135,0.010135,0.010367,0.000067,256,2,15
reshape_transpose,single_card,1,524288,1x64x4096,fp16,0.010343,0.010343,0.011364,0.000245,128,2,15
reshape_transpose,single_node_dual_card,2,524288,1x64x4096,fp16,0.009657,0.009657,0.010735,0.000247,128,2,15
reshape_transpose,single_card,1,1048576,1x128x4096,fp16,0.010275,0.010275,0.011942,0.000400,64,2,15
